array_index,bank_name,rom_start,rom_end,ram_base,entry_vaddr,entry_rom_offset,executor_index
0,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F4004,0xFF5C4,0x0020
1,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F4010,0xFF5D0,0x0021
2,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F401C,0xFF5DC,0x0021
3,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F4028,0xFF5E8,0x0021
4,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F4088,0xFF648,0x0022
5,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F4094,0xFF654,0x0022
6,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F40B0,0xFF670,0x0022
7,cutsceneBank2,0x100180,0x109920,0x802F5000,0x802F8E6C,0x103FEC,0x0000
8,cutsceneBank2,0x100180,0x109920,0x802F5000,0x802F90F8,0x104278,0x0000
9,cutsceneBank3,0x109920,0x10EA80,0x802F5000,0x802F5004,0x109924,0x0000
10,cutsceneBank4,0x10EA80,0x10F980,0x802F5000,0x802F5004,0x10EA84,0x0000
11,cutsceneBank5,0x10F980,0x115310,0x802F5000,0x802F5004,0x10F984,0x0000
12,cutsceneBank6,0x115310,0x1175F0,0x802F5000,0x802F5004,0x115314,0x0000
13,cutsceneBank7,0x1175F0,0x118D70,0x802F5000,0x802F5004,0x1175F4,0x0000
14,cutsceneBank8,0x118D70,0x120910,0x802F5000,0x802F500C,0x118D7C,0x0000
15,cutsceneBank9,0x120910,0x123CE0,0x802F5000,0x802F5004,0x120914,0x0000
16,cutsceneBank10,0x123CE0,0x125200,0x802F5000,0x802F5004,0x123CE4,0x0000
17,cutsceneBank11,0x125200,0x129760,0x802F5000,0x802F5008,0x125208,0x0000
18,cutsceneBank12,0x129760,0x12FE90,0x802F5000,0x802F5018,0x129778,0x0000
19,cutsceneBank13,0x12FE90,0x134510,0x802F5000,0x802F5008,0x12FE98,0x0000
20,cutsceneBank14,0x134510,0x135F40,0x802F5000,0x802F5008,0x134518,0x0000
21,fireworksFestival,0x135F40,0x136930,0x802F5000,0x802F5000,0x135F40,0x0000
22,cutsceneBank16,0x136930,0x1385E0,0x802F5000,0x802F5008,0x136938,0x0000
23,cutsceneBank17,0x1385E0,0x139840,0x802F5000,0x802F5010,0x1385F0,0x0000
24,cutsceneBank18,0x139840,0x13AFC0,0x802F5000,0x802F5008,0x139848,0x0000
25,cutsceneBank19,0x13AFC0,0x13D470,0x802F5000,0x802F5008,0x13AFC8,0x0000
26,cutsceneBank20,0x13D470,0x13FAC0,0x802F5000,0x802F5008,0x13D478,0x0000
27,cutsceneBank21,0x13FAC0,0x144F60,0x802F5000,0x802F5014,0x13FAD4,0x0000
28,cutsceneBank22,0x144F60,0x1485B0,0x802F5000,0x802F5004,0x144F64,0x0000
29,cutsceneBank23,0x1485B0,0x149CC0,0x802F5000,0x802F5004,0x1485B4,0x0000
30,cutsceneBank24,0x149CC0,0x14B8F0,0x802F5000,0x802F5000,0x149CC0,0x0000
31,cutsceneBank25,0x14B8F0,0x150120,0x802F5000,0x802F5004,0x14B8F4,0x0000
32,cutsceneBank26,0x150120,0x1510B0,0x802F5000,0x802F5004,0x150124,0x0000
33,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F40CC,0xFF68C,0x0000
34,farmBusiness,0xFF5C0,0x100180,0x802F4000,0x802F40D8,0xFF698,0x0021
35,cutsceneBank27,0x1510B0,0x159330,0x802F5000,0x802F5004,0x1510B4,0x0021
