index_start,index_end,text_start,name,game_index
E13920,E13990,E13800,text1,0
E13C30,E13C60,E13990,library,1
E167C0,E16A90,E13C60,diary,2
E19F60,E19FF0,E16A90,recipesJapanese,3
E1B3A0,E1B4E0,E19FF0,festivalOverlaySelections,4
E1C8C0,E1C9C0,E1B4E0,letters,5
E21150,E21700,E1C9C0,shop,6
E218A0,E218D0,E21700,animalInteractions,7
E24E20,E24F60,E218D0,tv,8
E24F70,E24F80,E24F60,text10,9
E25170,E251D0,E24F80,namingScreen,10
E28460,E28720,E251D0,elli,11
E2A230,E2A380,E28720,kai,12
E2D080,E2D330,E2A380,karen,13
E2E500,E2E600,E2D330,gotz,14
E2F650,E2F730,E2E600,sasha,15
E30ED0,E31010,E2F730,cliff,16
E33020,E33190,E31010,jeff,17
E34650,E34790,E33190,kent,18
E36000,E36150,E34790,harris,19
E39360,E39610,E36150,popuri,20
E3C700,E3C9A0,E39610,maria,21
E3D600,E3D6D0,E3C9A0,may,22
E40B90,E40E50,E3D6D0,ann,23
E42010,E42100,E40E50,doug,24
E42D50,E42E60,E42100,gray,25
E43E80,E43F60,E42E60,basil,26
E45130,E45200,E43F60,lillia,27
E461C0,E46280,E45200,duke,28
E47140,E471E0,E46280,shipper,29
E485D0,E48720,E471E0,harvestSprites,30
E49480,E49540,E48720,assistantCarpenters,31
E4A230,E4A2D0,E49540,masterCarpenter,32
E4B6E0,E4B7D0,E4A2D0,mayor,33
E4C8D0,E4C9B0,E4B7D0,greg,34
E4E230,E4E320,E4C9B0,rick,35
E4EC70,E4ED10,E4E320,barley,36
E4F370,E4F3F0,E4ED10,sydney,37
E50520,E50600,E4F3F0,potionShopDealer,38
E51A00,E51AE0,E50600,mayorWife,39
E52740,E527E0,E51AE0,ellen,40
E53450,E53540,E527E0,stu,41
E54C60,E54D60,E53540,midwife,42
E55AE0,E55BA0,E54D60,pastor,43
E569C0,E56A80,E55BA0,saibara,44
E58010,E58160,E56A80,cutscenes1,45
E583C0,E583F0,E58160,funeralIntro,46
E58880,E588D0,E583F0,text48,47
E5A6D0,E5A8C0,E588D0,text49,48
E5D240,E5D4C0,E5A8C0,text50,49
E5E270,E5E340,E5D4C0,text51,50
E5F220,E5F300,E5E340,text52,51
E60080,E60170,E5F300,dogRace,52
E64680,E64AF0,E60170,text54,53
E66260,E663F0,E64AF0,text55,54
E677B0,E678E0,E663F0,text56,55
E68620,E68700,E678E0,newYearFestival,56
E68BA0,E68BF0,E68700,spiritFestival,57
E6ADC0,E6AFE0,E68BF0,horseRace,58
E6F1E0,E6F5C0,E6AFE0,marriedDialogues,59
E714D0,E71690,E6F5C0,text61,60
E72680,E72780,E71690,karenCutscenes1,61
E73070,E73110,E72780,text63,62
E7C7B0,E7D1E0,E73110,farmVisits,63
E81660,E81F50,E7D1E0,text65,64
E82B30,E82C40,E81F50,eggFestival,66
E83880,E83960,E82C40,karenCutscenes2,67
E84690,E84760,E83960,vegetableFestival,68
E84910,E84990,E84760,baby,69
E84F50,E84FD0,E84990,mrsManaAndJohn,70
E85730,E857A0,E84FD0,additionalNpcs,71
E84910,E84990,E84760,npcBaby,72
E87080,E871A0,E857A0,howToPlay,73
