7FFF30,ranchSpring
80D3D0,ranchSummer
81A830,ranchFall
8289C0,ranchWinter
835E20,annRoom
83D690,ranchBarn
849100,ranchStore
84EB00,ranchHouse
856580,emptyMap1
856590,beachSpring
85E870,beachSummer
866B50,beachFall
86EE30,beachWinter
877110,raceTrackSpring
87EF10,raceTrackSummer
87EF20,raceTrackFall
886D20,raceTrackWinter
88EB20,mountain1Spring
8A6620,mountain1Summer
8BE120,mountain1Fall
8D5C20,mountain1Winter
8ED2E0,mountain2Spring
905380,mountain2Summer
91D2A0,mountain2Fall
9351C0,mountain2Winter
94D0E0,topOfMountain1Spring
9615D0,topOfMountain1Summer
975850,topOfMountain1Fall
989AD0,topOfMountain1Winter
99F3C0,moonMountainSpring
9B3F30,moonMountainSummer
9C8AA0,moonMountainFall
9DD610,moonMountainWinter
9F2180,carpenterHut
9FA480,dumplingHouse
A04680,pondSpring
A0C8C0,pondSummer
A14910,pondFall
A1C960,pondWinter
A249B0,elliRoom
A2BD50,bakery
A32E60,village1Spring
A4C040,village1Summer
A65220,village1Fall
A7ECB0,village1Winter
A97C10,village2Spring
AABCC0,village2Summer
ABFD70,village2Fall
AD3E20,village2Winter
AE7ED0,popuriRoom
AEF320,flowerShop
AF4900,church
AFA4C0,souvenirShop
AFEB10,squareSpring
B0DDC0,squareSummer
B1CE60,squareFall
B2BF00,squareWinter
B38390,rickShop
B3C810,midwifeHouse
B416C0,tavern
B4A3C0,library
B4DE40,mariaRoom
B53DD0,mayorHouse
B5AAB0,potionShopBackroom
B60390,potionShop
B64830,emptyMap3
B64840,harvestSpriteCave
B6A4C0,cave
B6E100,emptyMap4
B6E110,mine
B6F570,karenRoom
B7A9B0,vineyardSpring
B8B240,vineyardSummer
B9BAD0,vineyardFall
BAC360,vineyardWinter
BBC710,vineyardHouse
BC5110,vineyardCellar1
BC9630,vineyardCellar2
BD1680,roadSpring
BDB750,roadSummer
BE5820,roadFall
BEF8F0,roadWinter
BF99C0,farmSpring
C13640,farmSummer
C2D2C0,farmFall
C46F40,farmWinter
C603F0,greenhouse
C64800,house
C72A50,barn
C7D8E0,coop
C83B80,kitchen
C8D060,bathroom
C94C40,end
