index_start,index_end,text_start,name,game_index
E239F0,E23A60,E238C0,text1,0
E26550,E266D0,E23A60,library,1
E27CE0,E27FB0,E266D0,diary,2
E2B480,E2B510,E27FB0,recipesJapanese,3
E2C0B0,E2C1F0,E2B510,festivalOverlaySelections,4
E2CE60,E2CF60,E2C1F0,letters,5
E2FCA0,E30250,E2CF60,levelInteractions,6
E30330,E30360,E30250,animalInteractions,7
E366E0,E36970,E30360,tv,8
E36980,E36990,E36970,text10,9
E36B20,E36B80,E36990,namingScreen,10
E38C70,E38F30,E36B80,elli,11
E3A0D0,E3A220,E38F30,kai,12
E3BE10,E3C0C0,E3A220,karen,13
E3CC20,E3CD20,E3C0C0,gotz,14
E3D7C0,E3D8A0,E3CD20,sasha,15
E3E750,E3E890,E3D8A0,cliff,16
E3FCC0,E3FE30,E3E890,jeff,17
E40B80,E40CC0,E3FE30,kent,18
E41CF0,E41E40,E40CC0,harris,19
E43C50,E43F00,E41E40,popuri,20
E45D70,E46010,E43F00,maria,21
E46880,E46950,E46010,may,22
E48940,E48C00,E46950,ann,23
E496B0,E497A0,E48C00,doug,24
E49F40,E4A050,E497A0,gray,25
E4AA60,E4AB40,E4A050,basil,26
E4B6A0,E4B770,E4AB40,lillia,27
E4C070,E4C130,E4B770,duke,28
E4C920,E4C9C0,E4C130,shipper,29
E4D4E0,E4D630,E4C9C0,harvestSprites,30
E4DD50,E4DE10,E4D630,assistantCarpenters,31
E4E560,E4E600,E4DE10,masterCarpenter,32
E4F1D0,E4F2C0,E4E600,mayor,33
E4FCB0,E4FD90,E4F2C0,greg,34
E50C60,E50D50,E4FD90,rick,35
E512F0,E51390,E50D50,barley,36
E51790,E51810,E51390,sydney,37
E52240,E52320,E51810,potionShopDealer,38
E52EC0,E52FA0,E52320,mayorWife,39
E53790,E53830,E52FA0,ellen,40
E54010,E54100,E53830,stu,41
E54DF0,E54EF0,E54100,midwife,42
E557C0,E55880,E54EF0,pastor,43
E560B0,E56170,E55880,saibara,44
E56DA0,E56EF0,E56170,ranchCutscenes,45
E57060,E57090,E56EF0,funeralIntro,46
E57360,E573B0,E57090,fireworksFestival,47
E585D0,E587C0,E573B0,flowerFestival,48
E59F20,E5A1A0,E587C0,seaFestivalAndEvaluation,49
E5AA10,E5AAE0,E5A1A0,cowFestival,50
E5B3F0,E5B4D0,E5AAE0,fireflyFestival,51
E5BD60,E5BE50,E5B4D0,dogRace,52
E5E510,E5E980,E5BE50,mountainCutscenes,53
E5F770,E5F900,E5E980,sowingFestival,54
E60500,E60630,E5F900,harvestFestival,55
E60DE0,E60EC0,E60630,newYearFestival,56
E61170,E611C0,E60EC0,spiritFestival,57
E62680,E628A0,E611C0,horseRace,58
E64F70,E65350,E628A0,village1Cutscenes,59
E666B0,E66870,E65350,village2Cutscenes,60
E671F0,E672F0,E66870,vineyardCutscenes,61
E67920,E679C0,E672F0,roadCutscenes,62
E6D0E0,E6DB10,E679C0,farmVisits,63
E705E0,E70ED0,E6DB10,houseCutscenes,64
E71650,E71760,E70ED0,eggFestival,66
E71F40,E72020,E71760,beachCutscenes,67
E72840,E72910,E72020,vegetableFestival,68
E72A50,E72AD0,E72910,baby,69
E72EE0,E72F60,E72AD0,mrsManaAndJohn,70
E73420,E73490,E72F60,additionalNPCs,71
E72A50,E72AD0,E72910,npcBaby,72
E74200,E74320,E73490,howToPlay,73
