bank_name,segment_index
ann,59
ann,66
ann,130
ann,154
barley,31
beachCutscenes,25
beachCutscenes,36
beachCutscenes,52
cliff,16
cliff,20
cliff,72
ranchCutscenes,1
ranchCutscenes,12
ranchCutscenes,51
ranchCutscenes,73
ranchCutscenes,77
diary,0
diary,1
diary,2
diary,3
diary,4
diary,176
doug,37
eggFestival,2
elli,59
elli,80
elli,113
elli,157
farmVisits,32
farmVisits,74
farmVisits,81
farmVisits,87
farmVisits,92
farmVisits,95
farmVisits,110
farmVisits,122
farmVisits,129
farmVisits,149
farmVisits,159
farmVisits,166
farmVisits,183
farmVisits,186
farmVisits,302
farmVisits,431
farmVisits,440
farmVisits,494
farmVisits,507
farmVisits,543
farmVisits,565
farmVisits,601
farmVisits,646
festivalOverlaySelections,1
festivalOverlaySelections,12
festivalOverlaySelections,18
festivalOverlaySelections,23
festivalOverlaySelections,29
festivalOverlaySelections,34
festivalOverlaySelections,50
festivalOverlaySelections,55
gotz,21
gray,8
gray,50
gray,54
gray,59
greg,3
greg,29
harris,57
harris,75
jeff,49
jeff,80
kai,69
karen,152
karen,161
kent,37
kent,49
kent,62
library,72
library,73
library,74
library,75
library,76
library,77
library,78
library,79
library,80
library,81
library,82
library,83
library,84
library,85
library,86
library,87
library,88
library,89
library,90
library,91
lillia,26
maria,18
maria,104
maria,151
maria,159
village1Cutscenes,19
village1Cutscenes,44
village1Cutscenes,55
village1Cutscenes,59
village1Cutscenes,73
village1Cutscenes,83
village1Cutscenes,129
village1Cutscenes,136
village1Cutscenes,142
village1Cutscenes,150
village1Cutscenes,172
village1Cutscenes,175
village1Cutscenes,232
village1Cutscenes,239
may,39
mayor,55
midwife,18
namingScreen,12
newYearFestival,49
popuri,80
popuri,118
popuri,155
levelInteractions,1
levelInteractions,2
levelInteractions,3
levelInteractions,38
levelInteractions,56
levelInteractions,61
levelInteractions,77
levelInteractions,79
levelInteractions,89
levelInteractions,95
levelInteractions,108
levelInteractions,122
levelInteractions,130
levelInteractions,215
stu,40
sydney,5
flowerFestival,3
flowerFestival,30
flowerFestival,38
flowerFestival,44
flowerFestival,52
flowerFestival,59
flowerFestival,111
flowerFestival,121
seaFestivalAndEvaluation,31
seaFestivalAndEvaluation,35
seaFestivalAndEvaluation,39
seaFestivalAndEvaluation,43
seaFestivalAndEvaluation,72
fireflyFestival,14
mountainCutscenes,12
mountainCutscenes,21
mountainCutscenes,34
mountainCutscenes,107
mountainCutscenes,172
mountainCutscenes,186
mountainCutscenes,190
mountainCutscenes,196
mountainCutscenes,206
mountainCutscenes,211
mountainCutscenes,219
mountainCutscenes,253
mountainCutscenes,280
sowingFestival,51
sowingFestival,80
sowingFestival,82
harvestFestival,17
harvestFestival,23
harvestFestival,32
harvestFestival,41
harvestFestival,53
harvestFestival,68
village2Cutscenes,43
village2Cutscenes,59
village2Cutscenes,81
village2Cutscenes,88
village2Cutscenes,100
village2Cutscenes,104
roadCutscenes,7
roadCutscenes,30
roadCutscenes,35
houseCutscenes,32
houseCutscenes,37
houseCutscenes,183
houseCutscenes,206
houseCutscenes,259
houseCutscenes,335
houseCutscenes,352
houseCutscenes,387
houseCutscenes,407
houseCutscenes,458
vegetableFestival,1
vegetableFestival,21
vineyardCutscenes,9
vineyardCutscenes,31
vineyardCutscenes,40
vineyardCutscenes,56
vineyardCutscenes,60
