800530,ranch-spring
80D9D0,ranch-summer
81AE30,ranch-fall
828FC0,ranch-winter
836420,ann-room
83DC90,ranch-barn
849700,ranch-store
84F100,ranch-house
856B90,beach-spring
85EE70,beach-summer
867150,beach-fall
86F430,beach-winter
877710,race-track-spring
87F520,race-track-fall
887320,race-track-winter
88F120,mountain-1-spring
8A6C20,mountain-1-summer
8BE720,mountain-1-fall
8D6220,mountain-1-winter
8ED8E0,mountain-2-spring
905980,mountain-2-summer
91D8A0,mountain-2-fall
9357C0,mountain-2-winter
94D6E0,top-of-mountain-1-spring
961BD0,top-of-mountain-1-summer
975E50,top-of-mountain-1-fall
98A0D0,top-of-mountain-1-winter
99F9C0,moon-mountain-spring
9B4530,moon-mountain-summer
9C90A0,moon-mountain-fall
9DDC10,moon-mountain-winter
9F2780,carpenter-hut
9FAA80,dumpling-house
A04C80,spring-spring
A0CEC0,spring-summer
A14F10,spring-fall
A1CF60,spring-winter
A24FB0,elli-room
A2C350,bakery
AE84D0,popuri-room
A98210,village2-spring
AAC2C0,village2-summer
AC0370,village2-fall
AD4420,village2-winter
AEF920,flower-shop
AF4F00,church
AFAAC0,souvenir-shop
AFF110,square-spring
B0E3C0,square-summer
B1D460,square-fall
B2C500,square-winter
B38990,rick-shop
B3CE10,midwife-house
B41CC0,tavern
B4A9C0,library
B4E440,maria-room
B543D0,mayor-house
B5B0B0,potion-shop-backroom
B60990,potion-shop
B6AAC0,cave
B6E710,mine
B64E40,harvest-sprite-cave
B6FB70,karen-room
B7AFB0,vineyard-spring
B8B840,vineyard-summer
B9C0D0,vineyard-fall
BAC960,vineyard-winter
BBCD10,vineyard-house
BC5710,vineyard-cellar
BC9C30,vineyard-cellar-2
BD1C80,road-spring
BDBD50,road-summer
BE5E20,road-fall
BEFEF0,road-winter
BF9FC0,farm-spring
C13C40,farm-summer
C2D8C0,farm-fall
C47540,farm-winter
C609F0,greenhouse
C64D60,house
C72FB0,barn
C7DE40,coop
C840E0,kitchen
C8D5C0,bathroom
